Contest Number,Draw Date,Number 1,Number 2,Number 3,Number 4,Number 5,,,,,,,
6901,12/12/2025,6,42,45,57,78,,,,,,,
6902,13/12/2025,8,24,44,57,65,,,,,,,
,14/12/2025,No draw (Sunday),,,,,,,,,,,
6903,15/12/2025,3,45,54,65,68,,,,,,,
6904,16/12/2025,9,14,23,42,46,,,,,,,
6905,17/12/2025,3,18,24,60,78,,,,,,,
6906,18/12/2025,5,32,51,55,56,,,,,,,
6907,19/12/2025,23,41,46,58,66,,,,,,,
6908,20/12/2025,1,10,42,58,72,,,,,,,
,21/12/2025,No draw (Sunday),,,,,,,,,,,
6909,22/12/2025,75,63,57,9,25,,,,,,,
6910,23/12/2025,68,2,18,20,49,,,,,,,
6911,24/12/2025,59,56,72,51,3,,,,,,,
,25/12/2025,No draw (Christmas Day),,,,,,,,,,,
6912,26/12/2025,4,44,62,43,58,,,,,,,
6913,27/12/2025,31,38,42,25,58,,,,,,,
,28/12/2025,No draw (Sunday),,,,,,,,,,,
6914,29/12/2025,48,66,49,25,41,,,,,,,
6915,30/12/2025,21,51,66,5,19,,,,,,,
6916,31/12/2025,76,8,58,54,72,,,,,,,
,01/01/2026,No draw (New Year's Day),,,,,,,,,,,
6918,02/01/2026,29,11,48,15,57,,,,,,,
6919,03/01/2026,,,,,,,,,,,,
,04/01/2026,No draw (Sunday),,,,,,,,,,,
6920,05/01/2026,,,,,,,,,,,,
6921,06/01/2026,,,,,,,,,,,,
6922,07/01/2026,,,,,,,,,,,,
6923,08/01/2026,,,,,,,,,,,,
6924,09/01/2026,,,,,,,,,,,,
6925,10/01/2026,,,,,,,,,,,,
,11/01/2026,No draw (Sunday),,,,,,,,,,,
6926,12/01/2026,,,,,,,,,,,,
6927,13/01/2026,,,,,,,,,,,,
6928,14/01/2026,,,,,,,,,,,,
6929,15/01/2026,,,,,,,,,,,,
6930,16/01/2026,,,,,,,,,,,,
6931,17/01/2026,,,,,,,,,,,,
,18/01/2026,No draw (Sunday),,,,,,,,,,,
6932,19/01/2026,,,,,,,,,,,,
6933,20/01/2026,,,,,,,,,,,,
6934,21/01/2026,,,,,,,,,,,,
6935,22/01/2026,,,,,,,,,,,,
6936,23/01/2026,,,,,,,,,,,,
6937,24/01/2026,,,,,,,,,,,,
,25/01/2026,No draw (Sunday),,,,,,,,,,,
6938,26/01/2026,,,,,,,,,,,,
6939,27/01/2026,,,,,,,,,,,,
6940,28/01/2026,,,,,,,,,,,,
6941,29/01/2026,,,,,,,,,,,,
6942,30/01/2026,,,,,,,,,,,,
6943,31/01/2026,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,1