Member ID,Order Number,Region,Currency Type,Merchant,Record Time,Account Change Type,Account Change Category II,Change Amount,Balance After Change,Vault After Change,Frozen Amount After Change,Commission After Change,Operator,Remarks
3040920064,THRP176739474227149500,巴西,BRL,800,01/02/2026 19:59:56,充值,三方,20,20.26,0,0,0.06,,三方回调上分
3808485852,THRP176739468581668753,巴西,BRL,800,01/02/2026 19:59:34,充值,三方,120,120.04,0,0,0,,三方回调上分
3480835613,THRP176739472743150699,巴西,BRL,800,01/02/2026 19:59:32,充值,三方,150,153.02,0,0,0,,三方回调上分
3676581089,THRP176739475056610187,巴西,BRL,800,01/02/2026 19:59:32,充值,三方,50,50.03,0,0,0,,三方回调上分
3589709879,THRP176739474626850464,巴西,BRL,800,01/02/2026 19:59:28,充值,三方,18,18.31,0,0,0,,三方回调上分
3666892115,THRP176739472182514453,巴西,BRL,800,01/02/2026 19:59:12,充值,三方,35,35.09,0,0,0,,三方回调上分
3238993725,THRP176739470681752138,巴西,BRL,800,01/02/2026 19:58:57,充值,三方,18,18.25,0,0,0,,三方回调上分
3921215982,THRP176739466114419258,巴西,BRL,800,01/02/2026 19:58:39,充值,三方,20,20.21,0,0,0,,三方回调上分
3550916310,THRP176739464944983636,巴西,BRL,800,01/02/2026 19:58:26,充值,三方,1000,1000.33,0,0,0,,三方回调上分
3949081944,THRP176739464792374372,巴西,BRL,800,01/02/2026 19:58:05,充值,三方,16,16.07,0,0,0,,三方回调上分
3130900705,THRP176739464316728067,巴西,BRL,800,01/02/2026 19:58:00,充值,三方,10,15.49,0,0,0,,三方回调上分
3413135477,THRP176739461053789563,巴西,BRL,800,01/02/2026 19:57:43,充值,三方,10,20.09,0,0,0,,三方回调上分
3176134481,THRP176739461303229553,巴西,BRL,800,01/02/2026 19:57:39,充值,三方,10,10.51,0,0,0,,三方回调上分
3127851663,THRP17673945964527637,巴西,BRL,800,01/02/2026 19:57:37,充值,三方,20,22.41,0,0,0,,三方回调上分
3760015941,THRP176739460709688101,巴西,BRL,800,01/02/2026 19:57:35,充值,三方,10,10.28,0,0,0,,三方回调上分
3824119585,THRP176739449592457725,巴西,BRL,800,01/02/2026 19:56:59,充值,三方,39,39.36,0,0,0,,三方回调上分
3120563106,THRP176739455714486635,巴西,BRL,800,01/02/2026 19:56:51,充值,三方,40,40.13,0,0,0,,三方回调上分
3427409500,THRP176739455934524827,巴西,BRL,800,01/02/2026 19:56:36,充值,三方,30,30.25,0,0,0,,三方回调上分
3281447984,THRP176739456036444002,巴西,BRL,800,01/02/2026 19:56:26,充值,三方,20,20.06,0,0,0,,三方回调上分
3519931844,THRP176739455645065571,巴西,BRL,800,01/02/2026 19:56:20,充值,三方,50,50.01,0,0,0,,三方回调上分
3929114785,THRP176739452874071079,巴西,BRL,800,01/02/2026 19:56:10,充值,三方,100,100.15,0,0,0,,三方回调上分
3224945591,THRP17673945266016769,巴西,BRL,800,01/02/2026 19:56:05,充值,三方,16,16.28,0,0,0,,三方回调上分
3205870170,THRP176739447643033216,巴西,BRL,800,01/02/2026 19:55:51,充值,三方,30,30.04,0,0,0,,三方回调上分
3780765077,THRP176739450047078704,巴西,BRL,800,01/02/2026 19:55:46,充值,三方,10,10.47,0,0,0,,三方回调上分
3413135477,THRP176739443595463449,巴西,BRL,800,01/02/2026 19:54:34,充值,三方,10,10.09,0,0,0,,三方回调上分
3760015941,THRP176739436759933820,巴西,BRL,800,01/02/2026 19:54:21,充值,三方,10,11.08,0,0,0,,三方回调上分
3116074157,THRP176739440852891336,巴西,BRL,800,01/02/2026 19:53:53,充值,三方,100,103.9,0,0,0,,三方回调上分
3666892115,THRP176739433128639175,巴西,BRL,800,01/02/2026 19:53:12,充值,三方,35,35.09,0,0,0,,三方回调上分
3721238383,THRP176739427901689813,巴西,BRL,800,01/02/2026 19:52:21,充值,三方,10,10.09,0,0,0,,三方回调上分
3521792979,THRP176739424100435863,巴西,BRL,800,01/02/2026 19:51:59,充值,三方,30,30,0,0,0,,三方回调上分
3091434910,THRP176739427643590541,巴西,BRL,800,01/02/2026 19:51:58,充值,三方,50,50,0,0,0,,三方回调上分
3227304026,THRP17673942498743946,巴西,BRL,800,01/02/2026 19:51:22,充值,三方,15,15.28,0,0,0,,三方回调上分
3022607577,THRP176739421394280762,巴西,BRL,800,01/02/2026 19:51:13,充值,三方,10,10.08,0,0,0,,三方回调上分
3809605585,THRP176739425607993486,巴西,BRL,800,01/02/2026 19:51:12,充值,三方,50,50.46,0,0,0,,三方回调上分
3025274984,THRP176739422097293225,巴西,BRL,800,01/02/2026 19:51:11,充值,三方,10,10.21,0,0,0,,三方回调上分
3953881150,THRP17673942326928758,巴西,BRL,800,01/02/2026 19:51:06,充值,三方,10,10.37,0,0,0,,三方回调上分
3911578891,THRP17673942104056669,巴西,BRL,800,01/02/2026 19:50:39,充值,三方,50,50.27,0,0,0,,三方回调上分
3787625080,THRP176739419961857499,巴西,BRL,800,01/02/2026 19:50:26,充值,三方,10,10.77,0,0,0,,三方回调上分
3971059471,THRP176739418392176833,巴西,BRL,800,01/02/2026 19:50:26,充值,三方,10,10.11,0,0,0,,三方回调上分
3295241053,THRP176739417292411316,巴西,BRL,800,01/02/2026 19:50:23,充值,三方,10,10.26,0,0,0,,三方回调上分
3335716714,THRP176739416755690539,巴西,BRL,800,01/02/2026 19:50:14,充值,三方,50,50.51,0,0,0,,三方回调上分
3176673282,THRP17673941323749749,巴西,BRL,800,01/02/2026 19:49:46,充值,三方,50,55.83,0,0,0,,三方回调上分
3333490701,THRP17673941213941664,巴西,BRL,800,01/02/2026 19:49:44,充值,三方,50,50.06,0,0,0,,三方回调上分
3275851999,THRP176739414599965196,巴西,BRL,800,01/02/2026 19:49:43,充值,三方,1000,1001.37,0,0,0,,三方回调上分
3167585325,THRP176739411512715375,巴西,BRL,800,01/02/2026 19:49:38,充值,三方,10,20.12,0,0,0.27,,三方回调上分
3497197305,THRP176739412288280076,巴西,BRL,800,01/02/2026 19:49:18,充值,三方,30,30.09,0,0,0,,三方回调上分
3238399406,THRP176739410153194184,巴西,BRL,800,01/02/2026 19:49:04,充值,三方,16,16.29,0,0,0,,三方回调上分
3979542594,THRP17673940546942765,巴西,BRL,800,01/02/2026 19:48:44,充值,三方,36,36.06,0,0,0,,三方回调上分
3109726586,THRP176739408796661343,巴西,BRL,800,01/02/2026 19:48:42,充值,三方,20,20.2,0,0,0,,三方回调上分
3214869967,THRP176739400937383586,巴西,BRL,800,01/02/2026 19:47:15,充值,三方,10,10.05,0,0,0,,三方回调上分
3300768424,THRP176739390914442878,巴西,BRL,800,01/02/2026 19:46:55,充值,三方,30,30,0,0,0,,三方回调上分
3412400655,THRP176739397343722898,巴西,BRL,800,01/02/2026 19:46:51,充值,三方,10,10.16,0,0,0,,三方回调上分
3864678446,THRP176739394242192791,巴西,BRL,800,01/02/2026 19:46:35,充值,三方,10,10,0,0,0,,三方回调上分
3295626171,THRP176739392607117496,巴西,BRL,800,01/02/2026 19:46:33,充值,三方,20,20.2,0,0,0,,三方回调上分
3099778746,THRP176739393944949801,巴西,BRL,800,01/02/2026 19:46:18,充值,三方,30,30.13,0,0,0,,三方回调上分
3769269123,THRP17673939499014125,巴西,BRL,800,01/02/2026 19:46:13,充值,三方,30,30.01,0,0,0,,三方回调上分
3971059471,THRP176739392940652276,巴西,BRL,800,01/02/2026 19:45:58,充值,三方,10,10.22,0,0,0,,三方回调上分
3442403369,THRP176739389971434489,巴西,BRL,800,01/02/2026 19:45:55,充值,三方,10,10.16,0,0,0,,三方回调上分
3882097992,THRP176739383480226977,巴西,BRL,800,01/02/2026 19:45:11,充值,三方,10,10.56,0,0,0,,三方回调上分
3871711279,THRP176739381521255850,巴西,BRL,800,01/02/2026 19:45:00,充值,三方,15,16.38,0,0,0,,三方回调上分
3350198656,THRP176739383821292056,巴西,BRL,800,01/02/2026 19:44:37,充值,三方,10,10.07,0,0,0,,三方回调上分
3953881150,THRP17673938140182518,巴西,BRL,800,01/02/2026 19:44:09,充值,三方,10,10.77,0,0,0,,三方回调上分
3906381126,THRP176739382014590893,巴西,BRL,800,01/02/2026 19:44:04,充值,三方,100,100.07,0,0,0,,三方回调上分
3350853220,THRP176739377154067418,巴西,BRL,800,01/02/2026 19:43:39,充值,三方,50,50.02,0,0,0,,三方回调上分
3278726834,THRP176739377992710003,巴西,BRL,800,01/02/2026 19:43:39,充值,三方,10,10.55,0,0,0,,三方回调上分
3447472773,THRP176739376922224681,巴西,BRL,800,01/02/2026 19:43:16,充值,三方,20,20.19,0,0,0,,三方回调上分
3971059471,THRP176739376168699584,巴西,BRL,800,01/02/2026 19:43:14,充值,三方,10,10.02,0,0,0,,三方回调上分
3710242520,THRP176739377293317545,巴西,BRL,800,01/02/2026 19:43:12,充值,三方,35,36.04,0,0,0,,三方回调上分
3353200241,THRP176739373876164885,巴西,BRL,800,01/02/2026 19:43:04,充值,三方,21,21.6,0,0,0,,三方回调上分
3131474534,THRP176739372080852806,巴西,BRL,800,01/02/2026 19:42:48,充值,三方,10,10.21,0,0,0,,三方回调上分
3850563715,THRP176739373726881134,巴西,BRL,800,01/02/2026 19:42:47,充值,三方,20,20.48,0,0,0,,三方回调上分
3606618716,THRP176739370885436404,巴西,BRL,800,01/02/2026 19:42:40,充值,三方,20,20.15,0,0,0,,三方回调上分
3988831770,THRP176739371047739978,巴西,BRL,800,01/02/2026 19:42:32,充值,三方,15,15.36,0,0,0,,三方回调上分
3613703075,THRP176739347120278503,巴西,BRL,800,01/02/2026 19:42:23,充值,三方,10,10.32,0,0,0,,三方回调上分
3510114603,THRP176739365156165189,巴西,BRL,800,01/02/2026 19:41:45,充值,三方,50,50.31,0,0,0,,三方回调上分
3379469189,THRP176739364816679122,巴西,BRL,800,01/02/2026 19:41:40,充值,三方,20,20.07,0,0,0,,三方回调上分
3364201744,THRP176739355268114829,巴西,BRL,800,01/02/2026 19:41:29,充值,三方,20,20.11,0,0,0,,三方回调上分
3639795976,THRP176739365591354141,巴西,BRL,800,01/02/2026 19:41:23,充值,三方,30,30.33,0,0,0,,三方回调上分
3377535729,THRP176739363406620940,巴西,BRL,800,01/02/2026 19:41:07,充值,三方,10,13.55,0,0,0,,三方回调上分
3435812972,THRP176739359894623454,巴西,BRL,800,01/02/2026 19:40:50,充值,三方,10,10.06,0,0,0,,三方回调上分
3799521195,THRP176739361350399777,巴西,BRL,800,01/02/2026 19:40:46,充值,三方,50,51.79,0,0,0,,三方回调上分
3411802643,THRP176739359523848287,巴西,BRL,800,01/02/2026 19:40:33,充值,三方,50,50.03,0,0,0,,三方回调上分
3727740802,THRP176739358396483260,巴西,BRL,800,01/02/2026 19:40:31,充值,三方,12,12.07,0,0,0,,三方回调上分
3989992478,THRP17673935639045852,巴西,BRL,800,01/02/2026 19:40:23,充值,三方,10,10.37,0,0,0,,三方回调上分
3054677292,THRP176739356653534576,巴西,BRL,800,01/02/2026 19:39:56,充值,三方,20,20.07,0,0,0,,三方回调上分
3292047274,THRP176739352036155096,巴西,BRL,800,01/02/2026 19:39:23,充值,三方,10,10.75,0,0,0,,三方回调上分
3840173625,THRP176739344993848591,巴西,BRL,800,01/02/2026 19:38:38,充值,三方,10,10.02,0,0,0,,三方回调上分
3938972783,THRP176739343745023459,巴西,BRL,800,01/02/2026 19:38:27,充值,三方,10,10.1,0,0,0,,三方回调上分
3606618716,THRP17673934705932619,巴西,BRL,800,01/02/2026 19:38:17,充值,三方,20,21.19,0,0,0,,三方回调上分
3959772482,THRP17673934824332828,巴西,BRL,800,01/02/2026 19:38:11,充值,三方,10,10.39,0,0,0,,三方回调上分
3848963988,THRP176739341514846252,巴西,BRL,800,01/02/2026 19:37:48,充值,三方,10,10.34,0,0,0,,三方回调上分
3364890549,THRP1767393428191640,巴西,BRL,800,01/02/2026 19:37:39,充值,三方,30,30.39,0,0,0,,三方回调上分
3878843811,THRP176739340059824084,巴西,BRL,800,01/02/2026 19:37:34,充值,三方,10,10.13,0,0,0,,三方回调上分
3187179638,THRP176739337195445963,巴西,BRL,800,01/02/2026 19:37:00,充值,三方,11,21.6,0,0,0,,三方回调上分
3501036059,THRP176739335276858509,巴西,BRL,800,01/02/2026 19:36:59,充值,三方,10,10.31,0,0,0,,三方回调上分
3742127852,THRP176739328217831212,巴西,BRL,800,01/02/2026 19:35:57,充值,三方,30,30.73,0,0,0,,三方回调上分
3787055166,THRP176739330639396697,巴西,BRL,800,01/02/2026 19:35:49,充值,三方,20,20.2,0,0,0,,三方回调上分
3301160429,THRP176739332000532004,巴西,BRL,800,01/02/2026 19:35:46,充值,三方,20,20.02,0,0,0,,三方回调上分
3943982627,THRP176739329333186533,巴西,BRL,800,01/02/2026 19:35:16,充值,三方,15,15.01,0,0,0,,三方回调上分